,app,path,experiment,experiment_type,metric_name,direction,metric,value,unit,agent,attempt
86,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_07-49-10.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,8282284.0,(nnz/s),minicluster,4
87,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_07-49-10.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,136302.4,(nnz/s),minicluster,5
88,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_07-49-10.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,136273.9,(nnz/s),minicluster,6
89,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_07-49-10.json,amg2013-4-nodes,llm-decision-multi-node,status,,status,succeeded,status,,
90,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_05-06-26.json,amg2013-4-nodes,llm-decision-multi-node,attempts,,attempts,2,count,minicluster,
91,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_05-06-26.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,2854447.0,(nnz/s),minicluster,0
92,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_05-06-26.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,1500854000.0,(nnz/s),minicluster,1
93,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_05-06-26.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,2985481000.0,(nnz/s),minicluster,2
94,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_05-06-26.json,amg2013-4-nodes,llm-decision-multi-node,figure_of_merit,maximize,fom,134050.0,(nnz/s),minicluster,3
95,amg2013,./results/amg2023-4-nodes-deploy/results-2025-09-20_05-06-26.json,amg2013-4-nodes,llm-decision-multi-node,status,,status,succeeded,status,,
96,kripke,./results/kripke/results-2025-09-09_22-32-28.json,kripke,llm-decision,attempts,,attempts,5,count,build,
97,kripke,./results/kripke/results-2025-09-09_22-32-28.json,kripke,llm-decision,attempts,,attempts,12,count,minicluster,
